,UserId,FirstName,LastName,HouseNumber,Street,City,Province,IsSuperHost
0,48401,James,Williams,4454,STACEY CIR,KETCHIIKAN,NU,False
1,353620,Robert,Miller,2684,Haloff Way,CROWN POINT,NL,False
2,925091,Richard,Rodriguez,1591,KATY JILL CT,SALAMATOF,SK,False
3,632008,Jennifer,Martinez,3526,NEVA CIR,SELDOVIA,QC,False
4,791784,Thomas,Taylor,1398,CARLISLE ST,NANWALEK,AB,False
5,138078,Susan,Jackson,330,ALYSON CIR,KETCHIAKAN,NL,False
6,140802,Daniel,Martin,647,ROMA ST,HAPPY VALLEY,SK,False
7,573645,Robert,Moore,4666,TANADA LOOP,KACHEMAK,NT,False
8,388195,Linda,Jones,1450,MANORWOOD POINTE CIR,HOMER,YT,False
9,414663,Robert,Moore,2605,PENNY CT,FRITZ CREEK,NB,False
10,182511,Susan,Taylor,2250,SHAW CIR,HAPPY VALLEY,PE,False
11,383012,Jennifer,Moore,1834,W 74TH AVE,SELDOVIA VILLAGE,BC,False
12,249872,Patricia,Wilson,3910,JAMAL LN,RIDGEWAY,ON,True
13,149754,Barbara,Johnson,1477,SHAUN CIR,LOWELL POINT,NB,False
14,183753,Joseph,Rodriguez,4920,W GARTEN DR,PRIMROSE,MB,False
15,919592,Susan,Moore,2773,E SUE LN UNIT 1D,KIETCHIKAN,NB,False
16,701007,Michael,Thompson,2827,BUSH ST,SELDOVIA,AB,False
17,30799,John,Martinez,2413,HARD ROCK ST,FOX RIVER,AB,False
18,460180,James,Taylor,4489,LINCOLN CHANNEL,SUNRISE,QC,False
19,372290,Barbara,Johnson,2802,COVE DRIVE,PORT GRAHAM,SK,False
20,828087,Maria,Rodriguez,3691,E ODSATHER CIR #5A,CLAM GULCH,NL,False
21,587129,Charles,Thompson,1586,DE ETTE CIR,KETCHIKNA,NT,False
22,87566,Maria,Moore,2990,OKIE DRIFTER LN,KASILOF,ON,False
23,183586,Mark,Jones,2452,HANNAH RENE RD,CLAM GULCH,ON,False
24,603419,Elizabeth,White,3990,W 4TH AVE,NIKOLAEVSK,ON,False
25,663810,William,Martin,21,HOLDEN DR,CROWN POINT,NL,False
26,907983,William,Thomas,1392,S 2nd Ave,BELUGA,NT,False
27,377852,Patricia,Wilson,4130,S HERITAGE FARM RD,LOWELL POINT,YT,False
28,924724,Mark,Johnson,4378,GOLD CLAIM AVE,FRITZ CREEK,NU,False
29,981981,Mary,Anderson,3570,DORY DR,SELDOVIA VILLAGE,NT,False
30,399711,Linda,Anderson,2298,DONNA DR,COHOE,NL,False
31,245896,Michael,Garcia,416,KACHEMAK DR,KALIFORNSKY,NB,False
32,694135,William,Lee,2182,E STARBEARER CIR,CLAM GULCH,QC,False
33,279944,Charles,Williams,3741,S DRAGONFLY BROOK TRL,KACHEMAK,AB,False
34,767132,Joseph,Martin,2339,MARK CIR,PRIMROSE,ON,False
35,453264,Susan,White,1892,BART ST,KALIFORNSKY,NB,False
36,841186,Charles,Thomas,1397,GERAGHTY AVE,CLAM GULCH,ON,False
37,116300,Robert,Thomas,1959,S ALPINE ST,SOLDOTNA,BC,False
38,714704,Daniel,Anderson,1963,W OLD PARKS HWY,SELDOVIA,NB,False
39,611315,Maria,Anderson,816,FOX AVE,KALIFORNSKY,NS,False
40,895014,William,White,1216,MARCIA LN,KALIFORNSKY,AB,False
41,618649,John,Rodriguez,2507,BONIFACE PKWY,SALAMATOF,NL,False
42,958733,Elizabeth,White,3477,WYNONA CT,STERLING,PE,False
43,640382,Mary,Thomas,1984,MINERVA CT,SELDOVIA VILLAGE,NL,False
44,183571,Barbara,Thomas,1029,SANDFORD CT,HALIBUT COVE,QC,False
45,161447,Patricia,Thomas,244,SUMMIT TER,HALIBUT COVE,NT,False
46,855959,Susan,Davis,2527,E FLOAT SMALL BOAT HBR,HAPPY VALLEY,NL,False
47,540246,Patricia,Wilson,2013,LAKEWOOD RD,NIKOLAEVSK,NB,False
48,804776,Jennifer,Thompson,513,BRYANT CT,LOWELL POINT,ON,False
49,699912,Patricia,Taylor,338,E BRADFORD DR,HOPE,BC,False
50,134069,Maria,Jones,22,E PRIMROSE CIR 5B,KETCHIIKAN,BC,False
51,101327,Maria,Garcia,3637,W ELVAS CT,KETCHIKNA,SK,False
52,109423,Elizabeth,Wilson,2689,W TOLSON AVE,FRITZ CREEK,NT,False
53,648750,Joseph,Jones,2616,MORNING CIR,HOPE,MB,True
54,996061,Patricia,Anderson,362,NEWBERRY AVE,KACHEMAK,PE,False
55,83545,Richard,Martin,2459,RIDGELAKE CIR,CLAM GULCH,NS,False
56,124617,Jennifer,Johnson,1704,S EAGLE BAY DR,HAPPY VALLEY,NB,False
57,977215,Daniel,Wilson,2731,KOSO DR,KETCHIKNA,QC,False
58,513031,Joseph,Moore,2897,WIK CIR,SALAMATOF,BC,False
59,41677,David,White,178,HOWELL ST,SUNRISE,AB,False
60,754765,William,Martinez,1645,LOOMIS ST,KALIFORNSKY,AB,False
61,552438,David,Jones,3148,Magnolia Ct,TYONEK,NS,False
62,328029,Patricia,Miller,2510,E OUTDRIVE AVE,MOOSE PASS,NS,False
63,68493,Jennifer,Lee,3345,N LIL'S CIR,SELDOVIA VILLAGE,NS,False
64,929621,Barbara,Jones,4382,N SANDPIPER CIR,KETCHIAKAN,NT,False
65,501645,Mary,Thompson,2711,GILBERT ST,HOPE,NS,False
66,353990,Joseph,Rodriguez,3276,E 11TH CT,KASILOF,NS,False
67,572545,Barbara,Garcia,973,WEST POINTE CIR,KETCHIKNA,BC,False
68,891846,Barbara,Thomas,4338,S DECAMP CIR,FUNNY RIVER,PE,False
69,79398,Daniel,Taylor,1587,MUSKRAT WAY,CLAM GULCH,SK,False
70,379276,David,Johnson,2486,ZARVIS PL,SELDOVIA VILLAGE,ON,False
71,710527,John,White,2076,OLD STERLING HWY,HOMER,QC,False
72,398511,Mark,Williams,993,E MATANUSKA SPUR,KALIFORNSKY,YT,False
73,654952,William,Johnson,4694,REBEL RUN RD,KALIFORNSKY,YT,False
74,644097,Richard,Williams,2154,W MOOSE RIDGE CIR,TYONEK,NL,False
75,82476,Joseph,Jackson,4449,MAMMOTH DR,NIKOLAEVSK,QC,False
76,546125,John,Brown,4169,TRIA RD,SELDOVIA VILLAGE,BC,False
77,848108,Susan,White,3359,GRANT PL,FUNNY RIVER,NL,False
78,927752,Joseph,Jones,2710,Auk Kwaan Ln,BEAR CREEK,YT,False
79,951358,Charles,Williams,2044,CHAPEL CIR,FRITZ CREEK,NS,False
80,887179,Richard,Moore,14,TORREY CT,DIAMOND RIDGE,NU,False
81,374011,Elizabeth,Williams,2678,W DAWSON DR,FOX RIVER,NS,False
82,248895,Mary,Thompson,2508,E MERIDIAN LOOP E,MOOSE PASS,YT,False
83,936753,Richard,Martin,3541,FROST ST,SELDOVIA VILLAGE,BC,False
84,265248,Mary,Lee,88,NAKOCHINA CIR,SOLDOTNA,NU,False
85,62664,Richard,Miller,543,S RIDGEVIEW CT,COOPER LANDING,PE,False
86,825840,David,Thomas,4311,N FRISBY CIR,Ketchikan,SK,False
87,150860,Barbara,Garcia,2532,CHURCHILL CT,PRIMROSE,NU,False
88,699551,Richard,Thomas,293,CARD ST,RIDGEWAY,ON,False
89,539205,Mary,Davis,2377,UMINSKI CIR,NANWALEK,QC,False
90,104978,Elizabeth,Taylor,1202,MC GILL WAY,STERLING,QC,False
91,714384,Daniel,Thompson,2162,MATTIE ST,KETCHIAKAN,YT,False
92,9406,Daniel,Miller,2477,MEGEVE RD,LOWELL POINT,PE,True
93,601342,Susan,Jackson,4095,S BEN HUR DR,KALIFORNSKY,NL,False
94,565037,David,Martin,772,E CABBAGE PATCH AVE,Ketchikan,AB,False
95,278360,Patricia,Taylor,3421,GOODNEWS CIR,PORT GRAHAM,SK,False
96,705253,Thomas,Johnson,1830,KAYLIN CIR,HALIBUT COVE,QC,False
97,34437,Maria,Johnson,4689,W WANDA K CIR,KASILOF,SK,False
98,448091,David,Davis,2206,N AIRFIELD ST,NINILCHIK,SK,False
99,321100,John,Moore,2807,VIRGIN CREEK RD,KETCHIKNA,NS,True
100,219916,Joseph,Rodriguez,3322,W HACKAMORE RD,LOWELL POINT,NT,False
101,144510,Linda,Martinez,2317,N PROPWASH RD,SELDOVIA,NU,False
102,258682,Richard,Moore,3716,PINE RIDGE CIR,FUNNY RIVER,PE,False
103,20172,Patricia,Davis,256,S BENDING BIRCH RD,RIDGEWAY,NL,False
104,358881,Elizabeth,Thompson,2589,Angus Way,KALIFORNSKY,PE,False
105,862084,Susan,Taylor,2587,N PICK-A-DILLEY ST,CLAM GULCH,NU,False
106,969150,Joseph,Jackson,252,OLD WOOD RD,NIKISKI,BC,False
107,247498,William,Thompson,210,WILLSON WAY,SALAMATOF,NB,False
108,707858,Michael,Williams,2485,RIDGE POINTE DR,ANCHOR POINT,BC,False
109,773835,Linda,Smith,257,CHIEF JOHN DR,SELDOVIA,AB,False
110,495434,Mark,Davis,2914,W LIGHTHOUSE DR,KETCHIKNA,QC,False
111,676929,Charles,Miller,4443,FISH LN,BEAR CREEK,NS,False
112,396310,Maria,Brown,3994,Duran St,KASILOF,NL,False
113,250426,Michael,Anderson,4241,W SUN DR,SUNRISE,NL,False
114,976626,Susan,Rodriguez,1704,HAREBELL AVE,PRIMROSE,NL,False
115,928663,Robert,Williams,824,E MELISSA ROSE CIR A,RIDGEWAY,SK,False
116,369024,Elizabeth,White,1088,CLARKSON AVE,SALAMATOF,NB,True
117,841563,Joseph,White,1852,SABEA CIR,KETCHIIKAN,YT,False
118,885324,Linda,Thomas,3927,DIECKGRAEFF RD,COOPER LANDING,SK,False
119,722025,James,Thompson,1337,BALLARD DR,HALIBUT COVE,NS,False
120,426255,Charles,Anderson,4517,CHANGEPOINT DR,KALIFORNSKY,YT,False
121,111332,William,Moore,3906,SALMONBERRY ST,SELDOVIA,SK,False
122,619488,Thomas,White,3340,Betty Ct,COOPER LANDING,SK,False
123,104420,Elizabeth,Jones,945,NATURE TRL,KIETCHIKAN,NL,False
124,972819,David,Smith,3214,RYDBERG ST,SALAMATOF,QC,False
125,502928,Patricia,Williams,1442,Tlingit  St,KETCHIAKAN,YT,False
126,725225,Michael,Smith,2397,CHICKALOON ST,KENAI,SK,True
127,44294,Robert,Thomas,218,N BRYWOOD CIR,CLAM GULCH,QC,False
128,466111,Linda,White,3960,MYPLACE ST,KASILOF,BC,False
129,88248,Daniel,Martin,973,COOLIDGE DR,FUNNY RIVER,SK,False
130,106084,Patricia,Garcia,1249,SOUTH AIRPARK PL,BEAR CREEK,YT,False
131,139811,William,Jones,1789,N SEAGULL DR,NANWALEK,NU,False
132,517806,Michael,Martin,3218,ELIES DR,KENAI,NU,False
133,3734,Jennifer,Wilson,4025,MARINE WORKS WAY,KASILOF,ON,False
134,557406,John,Thomas,1778,SAUNA AVE,NINILCHIK,SK,False
135,901880,Michael,Moore,3148,MUSGROVE CT,SUNRISE,PE,True
136,720931,Richard,Miller,2378,CEDARWOOD AVE,RIDGEWAY,MB,False
137,195108,John,Anderson,1479,BIRCH HILLS DR,REMOTE,NL,False
138,749398,Joseph,Smith,2841,W GALENA CT,NINILCHIK,MB,False
139,679191,Barbara,Thompson,1206,E KOKOPELLI CIR UNIT 18,HAPPY VALLEY,NU,False
140,499292,Patricia,White,4756,CLEAR SIGHT AVE,PORT GRAHAM,QC,False
141,851012,Joseph,Rodriguez,4039,SEAWATCH DR,HOMER,PE,False
142,178377,Susan,Brown,112,CHINIAK DRIVE,FOX RIVER,SK,False
143,651072,Maria,Miller,1422,N JULIE CIR,FRITZ CREEK,PE,False
144,301660,James,Jackson,3882,Woods St,KIETCHIKAN,QC,False
145,407502,Richard,Thompson,3585,GRAYLING ST,SELDOVIA VILLAGE,PE,False
146,200593,David,Moore,3447,E STAYTON AVE,KIETCHIKAN,QC,False
147,899515,Patricia,Martinez,4386,W DREAMY CIR,KALIFORNSKY,AB,False
148,927664,Maria,Thompson,4000,HENRY ST,NIKISKI,NL,False
149,520554,Charles,Wilson,2448,W STACY ST SP23,PORT GRAHAM,QC,False
150,378515,James,Davis,2010,HARMONICA DR,SEWARD,ON,False
151,816440,William,Johnson,365,S ARZA CIR,HAPPY VALLEY,ON,False
152,718766,James,Moore,3992,CLAIRBORNE DR,REMOTE,AB,False
153,681792,Richard,Thomas,297,PEACEFUL CIR,KASILOF,PE,False
154,376181,Mark,Thomas,3406,ROMANS WAY,SEWARD,SK,False
155,818747,Maria,Brown,3510,DEVIN DR,SELDOVIA,NS,False
156,654665,Charles,Wilson,3002,E BALD EAGLE CIR,PORT GRAHAM,NS,False
157,846431,Mary,Jackson,522,W POPPY LN,SELDOVIA VILLAGE,NL,False
158,194561,Thomas,Brown,2363,MARCUS ST,ANCHOR POINT,NU,False
159,900916,Michael,Johnson,4950,ARUNDEL ST,SOLDOTNA,NU,False
160,578212,Linda,Johnson,4332,W DROWSY DR,DIAMOND RIDGE,MB,False
161,827308,Thomas,Anderson,936,MOOSE TROT AVE,KETCHIKAN,NS,False
162,218533,Joseph,Brown,1893,GORDON RD,PRIMROSE,MB,False
163,489826,Elizabeth,Martinez,3128,W BIG DIPPER DR,KETCHIKAN,MB,False
164,746834,Charles,Miller,254,SALTY CIR,TYONEK,NU,False
165,185843,Barbara,Lee,2241,SUN SPOT CIR,BEAR CREEK,ON,False
166,416655,Jennifer,Garcia,2103,N SKWENTNA BAY,MOOSE PASS,PE,False
167,750759,Joseph,Williams,3903,S DUCK CIR,NIKISKI,ON,True
168,136954,James,Lee,4122,TUNDRA ROSE RD,COHOE,NL,False
169,833281,Richard,Moore,1424,S PENINSULA DR #101,FRITZ CREEK,ON,False
170,915283,William,Wilson,330,W MOLLIES CIR,TYONEK,ON,False
171,769667,James,White,1721,KNIFFEN RD,COOPER LANDING,NU,False
172,167731,Susan,Thomas,1430,S SHAMAN RD,KALIFORNSKY,BC,False
173,78689,Elizabeth,Miller,644,NORTHPOINTE BLUFF DR,HALIBUT COVE,NL,False
174,550266,David,Martin,2244,S GRAY BIRCH CIR,MOOSE PASS,PE,False
175,715072,Richard,Johnson,397,TOWNE CT,KIETCHIKAN,MB,False
176,44957,John,Wilson,893,S PANNER CIR,LOWELL POINT,BC,False
177,106794,Michael,Martinez,784,W SECLUDED MEADOWS LOOP,COOPER LANDING,QC,False
178,122040,Charles,Moore,500,WESTMORELAND AVE,PORT GRAHAM,PE,False
179,37050,Jennifer,Jones,787,S LURE CIR,KETCHIKNA,MB,False
180,404511,Charles,White,4002,E WOLF TRL,RIDGEWAY,BC,False
181,433170,Daniel,Jones,4122,STEWART ST,ANCHOR POINT,MB,False
182,513980,Linda,Anderson,1549,S SHAMROCK ST,KENAI,ON,False
183,189819,Charles,Johnson,499,COULTER AVE,SOLDOTNA,NL,False
184,634242,Mark,Taylor,298,E 23RD AVE,KACHEMAK,NT,False
185,505167,Richard,Miller,1133,RENE CT,KENAI,ON,False
186,273237,Patricia,Rodriguez,4594,S CENTER POINT DR,RIDGEWAY,PE,False
187,467734,Maria,Martinez,1811,HAGELBARGER AVE,KETCHIAKAN,AB,False
188,767164,Richard,Davis,344,SUNSET VIEW ST,RIDGEWAY,ON,False
189,514909,David,Davis,4115,NENANA ST,COOPER LANDING,PE,True
190,723217,Susan,Wilson,1740,W CHILKOOT WAY,BELUGA,SK,False
191,204079,Jennifer,Brown,1881,LONE WOLF CT,LOWELL POINT,QC,False
192,805387,Richard,Anderson,1143,KELLEY CT,FUNNY RIVER,NT,False
193,283440,Susan,Garcia,339,UNUK RIVER,DIAMOND RIDGE,NS,False
194,1373,James,White,32,IRONWOOD PL,BELUGA,AB,False
195,432512,Michael,Martin,171,W ISLAND LAKE DR,TYONEK,NU,True
196,226542,William,Johnson,2266,LEIF ST,KALIFORNSKY,NL,False
197,216286,Linda,Brown,54,AURORA LODGE RD,KETCHIIKAN,YT,False
198,810558,Michael,Lee,1241,EL PASO PL,SELDOVIA,MB,False
199,790055,Linda,Jackson,4754,GARY MARSHALL REM NW,NINILCHIK,NT,False
200,307787,Thomas,Williams,1895,LISA LN,PORT GRAHAM,QC,False
201,536913,Linda,White,4910,Highland Ave,KETCHIAKAN,NS,False
202,228484,Mark,Jones,67,NORMAN PL,Ketchikan,ON,False
203,660998,William,Williams,3551,W WONDERLAND DR,KETCHIAKAN,NU,False
204,80975,Mary,Jones,3816,ALDREN CIR,NIKOLAEVSK,YT,False
205,139054,Barbara,Taylor,4592,FOOTHILL DR,KACHEMAK,AB,False
206,881801,Thomas,White,4748,NINILCHIK DR,LOWELL POINT,NS,False
207,703803,Jennifer,Johnson,427,NEEDELS LOOP,KASILOF,BC,False
208,97212,John,Brown,3851,ARBOLES LN,ANCHOR POINT,AB,False
209,490903,Maria,Davis,271,W PONDEROSA LOOP,MOOSE PASS,PE,False
210,142114,Mark,Thompson,998,CAROLYN STREET,SELDOVIA VILLAGE,NS,False
